player,player_id,organization_id,game_date,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Gavin Skelly,0,1,2018-02-25,8,0,0,,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,2,0
Isiah Brown,0,1,2018-03-01,2,0,0,,0,0,,0,0,,0,1,.000,0,0,0,1,0,0,2,1,0
Bryant McIntosh,0,1,2018-03-01,38,3,12,.250,2,6,.333,1,6,.167,0,1,.000,0,2,2,6,0,0,2,1,7
Dererk Pardon,0,1,2018-03-01,37,6,11,.545,6,11,.545,0,0,,2,3,.667,3,5,8,1,1,0,1,2,14
Scottie Lindsey,0,1,2018-03-01,35,4,13,.308,2,6,.333,2,7,.286,2,2,1.000,1,7,8,1,0,1,1,5,12
Barret Benson,0,1,2018-03-01,30,4,5,.800,4,5,.800,0,0,,1,2,.500,4,5,9,1,0,3,0,2,9
Anthony Gaines,0,1,2018-03-01,28,2,7,.286,0,3,.000,2,4,.500,0,0,,0,1,1,1,0,0,2,2,6
Aaron Falzon,0,1,2018-03-01,17,1,3,.333,1,1,1.000,0,2,.000,0,0,,0,3,3,0,0,1,0,1,2
Gavin Skelly,0,1,2018-03-01,13,1,1,1.000,1,1,1.000,0,0,,5,6,.833,1,2,3,1,1,0,0,1,7
Tino Malnati,0,1,2018-03-01,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
